naics_sector,fiscal_year,total,month_name,month,year
Construction,2011,4926987.0,jan,1,2011
Manufacturing (includes headquarter offices & factories),2011,9905477.0,jan,1,2011
"Chemicals, Petroleum Refining",2011,1414422.0,jan,1,2011
Pharmaceuticals,2011,2123572.0,jan,1,2011
Transportation Equipment,2011,661243.0,jan,1,2011
Food & Beverage Products,2011,1450882.0,jan,1,2011
"Machinery, Electronic, and Other Electric Equipment",2011,966412.0,jan,1,2011
Metal Manufacturing,2011,863669.0,jan,1,2011
Miscellaneous Manufacturing,2011,2425277.0,jan,1,2011
Public Utilities,2011,1037165.0,jan,1,2011
Transportation and Warehousing,2011,4476320.0,jan,1,2011
Telecommunication,2011,1985474.0,jan,1,2011
"Publishing, Broadcasting, and Other Information",2011,2280775.0,jan,1,2011
Wholesale Trade,2011,4679620.0,jan,1,2011
Retail Trade,2011,8015910.0,jan,1,2011
Banking & Credit Unions,2011,3206196.0,jan,1,2011
Securities / Financial Investments,2011,5234679.0,jan,1,2011
Insurance,2011,4794530.0,jan,1,2011
"Real Estate, Rental and Leasing",2011,2518202.0,jan,1,2011
Health and Social Services,2011,30805780.0,jan,1,2011
Hospitals,2011,14113003.0,jan,1,2011
"Doctors, Dentists, and Other Health Practitioners",2011,6436773.0,jan,1,2011
Outpatient Care Centers and Other Health Services,2011,4029774.0,jan,1,2011
Nursing & Personal Care Facilities,2011,2964255.0,jan,1,2011
Social Services,2011,3261976.0,jan,1,2011
Education,2011,5607468.0,jan,1,2011
College and Universities,2011,2471599.0,jan,1,2011
"Elementary, Secondary Schools (except public schools)",2011,2023379.0,jan,1,2011
Other Educational Services,2011,1112491.0,jan,1,2011
Professional  Services,2011,26157859.0,jan,1,2011
Legal Services,2011,14442578.0,jan,1,2011
Management Consulting,2011,4477881.0,jan,1,2011
Engineering & Architectural Services,2011,2249084.0,jan,1,2011
Computer,2011,1364215.0,jan,1,2011
"Accounting, Auditing, Bookkeeping",2011,1205940.0,jan,1,2011
Advertising and Other Professional Services,2011,2418160.0,jan,1,2011
Hotels,2011,788812.0,jan,1,2011
Restaurants,2011,3707313.0,jan,1,2011
Sport Teams,2011,1663135.0,jan,1,2011
"Arts, Entertainment, and Other Recreation",2011,1073070.0,jan,1,2011
Other Sectors,2011,10525161.0,jan,1,2011
Membership Organizations,2011,3105954.0,jan,1,2011
Employment/Outsourcing Agencies,2011,1988213.0,jan,1,2011
Security and Investigation Services,2011,664275.0,jan,1,2011
Services to Buildings,2011,1263264.0,jan,1,2011
Miscellaneous Sectors,2011,3503455.0,jan,1,2011
Government,2011,21301154.0,jan,1,2011
State Government (PA),2011,2765988.0,jan,1,2011
"City, School District, Local Quasi Govt.",2011,11460563.0,jan,1,2011
Federal Government (includes US Post Office),2011,6771342.0,jan,1,2011
Other Governments,2011,303261.0,jan,1,2011
Unclassified Accounts,2011,336383.0,jan,1,2011
Construction,2011,3464214.0,feb,2,2011
Manufacturing (includes headquarter offices & factories),2011,7480054.0,feb,2,2011
"Chemicals, Petroleum Refining",2011,1317863.0,feb,2,2011
Pharmaceuticals,2011,1445305.0,feb,2,2011
Transportation Equipment,2011,755682.0,feb,2,2011
Food & Beverage Products,2011,1072149.0,feb,2,2011
"Machinery, Electronic, and Other Electric Equipment",2011,650568.0,feb,2,2011
Metal Manufacturing,2011,562691.0,feb,2,2011
Miscellaneous Manufacturing,2011,1675795.0,feb,2,2011
Public Utilities,2011,1806308.0,feb,2,2011
Transportation and Warehousing,2011,3794207.0,feb,2,2011
Telecommunication,2011,2180404.0,feb,2,2011
"Publishing, Broadcasting, and Other Information",2011,1467303.0,feb,2,2011
Wholesale Trade,2011,2554021.0,feb,2,2011
Retail Trade,2011,4675755.0,feb,2,2011
Banking & Credit Unions,2011,2943499.0,feb,2,2011
Securities / Financial Investments,2011,3745084.0,feb,2,2011
Insurance,2011,3782247.0,feb,2,2011
"Real Estate, Rental and Leasing",2011,1687551.0,feb,2,2011
Health and Social Services,2011,23285838.0,feb,2,2011
Hospitals,2011,12409903.0,feb,2,2011
"Doctors, Dentists, and Other Health Practitioners",2011,3004274.0,feb,2,2011
Outpatient Care Centers and Other Health Services,2011,3240004.0,feb,2,2011
Nursing & Personal Care Facilities,2011,2528457.0,feb,2,2011
Social Services,2011,2103200.0,feb,2,2011
Education,2011,10944428.0,feb,2,2011
College and Universities,2011,8505152.0,feb,2,2011
"Elementary, Secondary Schools (except public schools)",2011,1759214.0,feb,2,2011
Other Educational Services,2011,680062.0,feb,2,2011
Professional  Services,2011,11344848.0,feb,2,2011
Legal Services,2011,4441424.0,feb,2,2011
Management Consulting,2011,2256704.0,feb,2,2011
Engineering & Architectural Services,2011,1222353.0,feb,2,2011
Computer,2011,827063.0,feb,2,2011
