naics_sector,total_accounts,net_income,gross_receipts,total,tax_year
Total,100577,276458560,95188502,371647062,2008
Banking and Related Activities,399,2048138,1224724,3272862,2008
Other Information,509,994694,505275,1499969,2008
Telecommunications,201,6782047,3130418,9912465,2008
Broadcasting (TV and Radio),50,940101,276891,1216992,2008
Publishing,226,2601280,562862,3164142,2008
"Information, subtotal",986,11318122,4475446,15793568,2008
Financial Investment Services,467,10120384,5599116,15719500,2008
Transportation and Storage,1013,1849312,935704,2785016,2008
Wholesale Trade,3019,11663625,9607936,21271561,2008
Other Manufacturing,2040,6987888,2954321,9942209,2008
"Chemicals, Pharmaceuticals & Petroleum",225,14886761,2499566,17386327,2008
Food and Beverage Products,381,950704,1461150,2411854,2008
"Manufacturing, subtotal",2646,22825353,6915037,29740390,2008
Construction,6976,15796303,9852914,25649217,2008
Retail Trade,8412,14587447,14598894,29186341,2008
Insurance,657,3273606,4650170,7923776,2008
Unclassified,12434,5748103,775470,6523573,2008
"Professional Services, subtotal",9698,94190482,11321185,105511667,2008
All Other Sectors,2623,4641654,2326075,6967729,2008
Other Services  **2,5573,6007240,1507552,7514792,2008
"Restaurants, Bars, and Other Food Services",4504,6133273,3356068,9489341,2008
Hotels and Other Accommodations,159,1153955,1228960,2382915,2008
Sports,32,1493978,815752,2309730,2008
Health and Social Services,5596,17189696,5707393,22897089,2008
Educational Services,821,1573501,549768,2123269,2008
Real Estate (including REITS),31154,39988226,7055403,47043629,2008
Other Services,1643,2923159,719721,3642880,2008
Advertising,359,1655593,554430,2210023,2008
Management and Technical Consulting,2256,7190706,1734674,8925380,2008
Computer Services,790,1952596,959103,2911699,2008
Architect and Engineering,935,3606794,1349304,4956098,2008
"Accounting, Tax and Payroll Services",875,11303431,976264,12279695,2008
Legal Services,2840,65558203,5027689,70585892,2008
Business Support Services **1,3408,4856162,2684935,7541097,2008
Financial Investment Services,439,11270218,3811275,15081493,2009
Banking and Related Activities,350,1516295,440412,1956707,2009
Other Information,521,931203,475621,1406824,2009
Telecommunications,195,5265983,1969567,7235550,2009
Broadcasting (TV and Radio),43,1709676,263154,1972830,2009
Publishing,227,3354747,449128,3803875,2009
"Information, subtotal",986,11261609,3157470,14419079,2009
Other Manufacturing,1996,5702670,2976422,8679092,2009
Retail Trade,8410,14056362,14196163,28252525,2009
Wholesale Trade,3040,8810151,9220504,18030655,2009
"Chemicals, Pharmaceuticals & Petroleum",228,4495824,1669397,6165221,2009
Food and Beverage Products,381,1245689,1394940,2640629,2009
"Manufacturing, subtotal",2605,11444183,6040759,17484942,2009
Construction,6904,18344135,8761107,27105242,2009
Insurance,646,3684001,4433356,8117357,2009
Transportation and Storage,988,1841661,843229,2684890,2009
Real Estate (including REITS),31769,32057952,6394385,38452337,2009
"Professional Services, subtotal",9833,83308207,10750324,94058531,2009
Legal Services,2851,56077074,4788787,60865861,2009
Unclassified,12855,5720389,790259,6510648,2009
All Other Sectors,2720,4878411,2184525,7062936,2009
Other Services  **2,5532,5251388,1449341,6700729,2009
"Restaurants, Bars, and Other Food Services",4464,6154967,3318570,9473537,2009
Hotels and Other Accommodations,152,1130119,1024787,2154906,2009
Sports,38,2389071,891371,3280442,2009
Health and Social Services,5531,16646071,5917852,22563923,2009
Total,101478,246363310,86928648,333291958,2009
Business Support Services **1,3365,4699576,2719788,7419364,2009
Other Services,1721,3360103,657484,4017587,2009
Advertising,367,1125852,495111,1620963,2009
Management and Technical Consulting,2300,6140134,1680257,7820391,2009
Computer Services,797,1706544,911436,2617980,2009
Architect and Engineering,925,3320861,1211946,4532807,2009
"Accounting, Tax and Payroll Services",872,11577639,1005303,12582942,2009
Educational Services,851,1898544,583171,2481715,2009
Financial Investment Services,459,15614193,5157871,20772064,2010
Banking and Related Activities,330,1290423,676230,1966653,2010
Other Information,556,1097488,535896,1633384,2010
Telecommunications,210,4929911,2074262,7004173,2010
Broadcasting (TV and Radio),44,1674429,338477,2012906,2010
Publishing,225,2154383,404227,2558610,2010
Transportation and Storage,994,3502793,875380,4378173,2010
"Chemicals, Pharmaceuticals & Petroleum",224,6491765,1585049,8076814,2010
Wholesale Trade,3032,10169665,9978066,20147731,2010
Other Manufacturing,2003,5065008,2889964,7954972,2010
Food and Beverage Products,383,1342672,1285366,2628038,2010
"Manufacturing, subtotal",2610,12899445,5760379,18659824,2010
Construction,7010,16078745,8255682,24334427,2010
Insurance,629,4815282,5866472,10681754,2010
Retail Trade,8427,14975667,13588028,28563695,2010
Real Estate (including REITS),32691,40576746,6785104,47361850,2010
"Information, subtotal",1035,9856211,3352862,13209073,2010
Legal Services,2855,58066759,4698236,62764995,2010
Unclassified,13085,5779885,836903,6616788,2010
All Other Sectors,2843,4088523,1976645,6065168,2010
Other Services  **2,5582,5770662,1511276,7281938,2010
"Restaurants, Bars, and Other Food Services",4538,5849596,3379509,9229105,2010
Hotels and Other Accommodations,157,977550,1015833,1993383,2010
Sports,43,375091,936904,1311995,2010
Health and Social Services,5563,16891720,6014356,22906076,2010
Educational Services,874,2044802,571751,2616553,2010
Total,103410,262203064,90142871,352345935,2010
Business Support Services **1,3423,5350693,2913980,8264673,2010
Other Services,1812,3675144,727401,4402545,2010
Advertising,363,1287375,478151,1765526,2010
Management and Technical Consulting,2427,6656077,1667431,8323508,2010
Computer Services,798,1798465,993226,2791691,2010
Architect and Engineering,961,2553551,1123271,3676822,2010
"Accounting, Tax and Payroll Services",869,11258001,1001924,12259925,2010
"Professional Services, subtotal",10085,85295372,10689640,95985012,2010
Financial Investment Services,440,8952072,6282293,15234365,2011
Banking and Related Activities,317,1811544,932587,2744131,2011
Other Information,568,802385,666794,1469179,2011
Telecommunications,194,5067839,2015091,7082930,2011
Broadcasting (TV and Radio),47,2436535,442705,2879240,2011
Publishing,227,1791571,442594,2234165,2011
"Information, subtotal",1036,10098330,3567184,13665514,2011
Other Manufacturing,1991,5558301,2784456,8342757,2011
Retail Trade,8519,17434586,15798360,33232946,2011
Wholesale Trade,3009,11633246,10728713,22361959,2011
"Chemicals, Pharmaceuticals & Petroleum",234,5034025,1734655,6768680,2011
Food and Beverage Products,364,1288648,1270491,2559139,2011
"Manufacturing, subtotal",2589,11880974,5789602,17670576,2011
Construction,7013,11611108,7769584,19380692,2011
Insurance,628,7942111,5705816,13647927,2011
Transportation and Storage,985,3008571,1036036,4044607,2011
Real Estate (including REITS),33832,35075767,6874517,41950284,2011
Total,104836,265964724,96825404,362790128,2011
Legal Services,2816,59590487,4714129,64304616,2011
Unclassified,13070,5776238,904642,6680880,2011
All Other Sectors,2938,6191398,2892200,9083598,2011
Other Services  **2,5560,5892104,1632082,7524186,2011
"Restaurants, Bars, and Other Food Services",4577,6359232,3674229,10033461,2011
Hotels and Other Accommodations,148,1094502,1055093,2149595,2011
Sports,44,3712450,915861,4628311,2011
Health and Social Services,5508,16791020,6314979,23105999,2011
"Professional Services, subtotal",10254,93613973,11344070,104958043,2011
Business Support Services **1,3466,5406427,3067492,8473919,2011
Other Services,1952,2943549,719749,3663298,2011
Advertising,351,1294382,445320,1739702,2011
Management and Technical Consulting,2485,9620010,1993343,11613353,2011
Computer Services,795,3007873,1128297,4136170,2011
Architect and Engineering,1003,4868415,1239112,6107527,2011
"Accounting, Tax and Payroll Services",852,12289257,1104120,13393377,2011
Educational Services,903,1679071,540064,2219135,2011
Financial Investment Services,409,8273919,7012976,15286895,2012
Banking and Related Activities,309,1544008,1146556,2690564,2012
Other Information,604,924402,612052,1536454,2012
Telecommunications,179,8704874,2161492,10866366,2012
Broadcasting (TV and Radio),47,2958151,442096,3400247,2012
Publishing,222,2896288,501882,3398170,2012
"Information, subtotal",1052,15483715,3717522,19201237,2012
Other Manufacturing,1940,6751126,3078597,9829723,2012
Retail Trade,8489,19920579,15392846,35313425,2012
Wholesale Trade,3000,18008673,11433256,29441929,2012
"Chemicals, Pharmaceuticals & Petroleum",232,5881733,1010471,6892204,2012
Food and Beverage Products,356,2003342,1290385,3293727,2012
"Manufacturing, subtotal",2528,14636201,5379453,20015654,2012
Insurance,634,8721552,4709945,13431497,2012
Transportation and Storage,983,2370433,1224485,3594918,2012
Construction,7051,13210120,8075195,21285315,2012
Real Estate (including REITS),34964,46508944,7628385,54137329,2012
Legal Services,2801,62965347,4819162,67784509,2012
"Professional Services, subtotal",10413,98226219,11973300,110199519,2012
Unclassified,13517,6455554,1156016,7611570,2012
All Other Sectors,3031,4882693,2985594,7868287,2012
Other Services  **2,5502,6633042,1625316,8258358,2012
"Restaurants, Bars, and Other Food Services",4533,7117375,3830351,10947726,2012
Hotels and Other Accommodations,141,2028734,1143790,3172524,2012
Sports,34,2780796,860711,3641507,2012
Health and Social Services,5495,17353978,6613083,23967061,2012
Total,106380,301201522,99452948,400654470,2012
Business Support Services **1,3401,5517230,3007276,8524506,2012
Other Services,2102,3537736,766930,4304666,2012
Advertising,352,1416374,488112,1904486,2012
Management and Technical Consulting,2528,9698450,2412624,12111074,2012
Computer Services,792,3159176,1120771,4279947,2012
Architect and Engineering,1013,2804041,1145887,3949928,2012
