name,fiscal_year,total,month_name,month,fiscal_month,year
licenses_and_inspection_fees,2014,3140568.0,jul,7,1,2013
traffic_fines,2014,553266.0,jul,7,1,2013
non_profit_contribution,2014,108410.0,jul,7,1,2013
cable_television,2014,4446895.0,jul,7,1,2013
emergency_medical_services,2014,2856528.0,jul,7,1,2013
court_related_costs,2014,3988814.0,jul,7,1,2013
interest_earnings,2014,74965.0,jul,7,1,2013
asset_sales,2014,0.0,jul,7,1,2013
all_other_local_non_taxes,2014,13182837.0,jul,7,1,2013
total_local_non_tax_revenue,2014,28352283.0,jul,7,1,2013
licenses_and_inspection_fees,2014,3480304.0,aug,8,2,2013
traffic_fines,2014,674997.0,aug,8,2,2013
non_profit_contribution,2014,171247.0,aug,8,2,2013
cable_television,2014,770314.0,aug,8,2,2013
emergency_medical_services,2014,3070987.0,aug,8,2,2013
court_related_costs,2014,4479325.0,aug,8,2,2013
interest_earnings,2014,128246.0,aug,8,2,2013
asset_sales,2014,60174.0,aug,8,2,2013
all_other_local_non_taxes,2014,10493987.0,aug,8,2,2013
total_local_non_tax_revenue,2014,23329581.0,aug,8,2,2013
licenses_and_inspection_fees,2014,2121639.0,sep,9,3,2013
traffic_fines,2014,529582.0,sep,9,3,2013
non_profit_contribution,2014,10148.0,sep,9,3,2013
cable_television,2014,0.0,sep,9,3,2013
emergency_medical_services,2014,2863720.0,sep,9,3,2013
court_related_costs,2014,3681111.0,sep,9,3,2013
interest_earnings,2014,243939.0,sep,9,3,2013
asset_sales,2014,57005.0,sep,9,3,2013
all_other_local_non_taxes,2014,10450396.0,sep,9,3,2013
total_local_non_tax_revenue,2014,19957540.0,sep,9,3,2013
licenses_and_inspection_fees,2014,3793952.0,oct,10,4,2013
traffic_fines,2014,682301.0,oct,10,4,2013
non_profit_contribution,2014,321028.0,oct,10,4,2013
cable_television,2014,0.0,oct,10,4,2013
emergency_medical_services,2014,2985090.0,oct,10,4,2013
court_related_costs,2014,3778108.0,oct,10,4,2013
interest_earnings,2014,46826.0,oct,10,4,2013
asset_sales,2014,1594.0,oct,10,4,2013
all_other_local_non_taxes,2014,8285421.0,oct,10,4,2013
total_local_non_tax_revenue,2014,19894320.0,oct,10,4,2013
licenses_and_inspection_fees,2014,2985391.0,nov,11,5,2013
traffic_fines,2014,527127.0,nov,11,5,2013
non_profit_contribution,2014,0.0,nov,11,5,2013
cable_television,2014,5155145.0,nov,11,5,2013
emergency_medical_services,2014,2961342.0,nov,11,5,2013
court_related_costs,2014,4044917.0,nov,11,5,2013
interest_earnings,2014,20863.0,nov,11,5,2013
asset_sales,2014,225802.0,nov,11,5,2013
all_other_local_non_taxes,2014,7100568.0,nov,11,5,2013
total_local_non_tax_revenue,2014,23021155.0,nov,11,5,2013
licenses_and_inspection_fees,2014,3097998.0,dec,12,6,2013
traffic_fines,2014,500489.0,dec,12,6,2013
non_profit_contribution,2014,0.0,dec,12,6,2013
cable_television,2014,0.0,dec,12,6,2013
emergency_medical_services,2014,2710840.0,dec,12,6,2013
court_related_costs,2014,3377414.0,dec,12,6,2013
interest_earnings,2014,347419.0,dec,12,6,2013
asset_sales,2014,6850.0,dec,12,6,2013
all_other_local_non_taxes,2014,7096334.0,dec,12,6,2013
total_local_non_tax_revenue,2014,17137344.0,dec,12,6,2013
licenses_and_inspection_fees,2014,1861999.0,jan,1,7,2014
traffic_fines,2014,577715.0,jan,1,7,2014
non_profit_contribution,2014,182404.0,jan,1,7,2014
cable_television,2014,4369983.0,jan,1,7,2014
emergency_medical_services,2014,3131968.0,jan,1,7,2014
court_related_costs,2014,3493995.0,jan,1,7,2014
interest_earnings,2014,65577.0,jan,1,7,2014
asset_sales,2014,37969.0,jan,1,7,2014
