fiscal_year,rate_resident,rate_nonresident
1969,2.0000,2.0000
1970,3.0000,3.0000
1971,3.0000,3.0000
1972,3.3125,3.3125
1973,3.3125,3.3125
1974,3.3125,3.3125
1975,3.3125,3.3125
1976,3.3125,3.3125
1977,4.3125,4.3125
1978,4.3125,4.3125
1979,4.3125,4.3125
1980,4.3125,4.3125
1981,4.3125,4.3125
1982,4.3125,4.3125
1983,4.3125,4.3125
1984,4.9600,4.3125
1985,4.9600,4.3125
1986,4.9600,4.3125
1987,4.9600,4.3125
1988,4.9600,4.3125
1989,4.9600,4.3125
1990,4.9600,4.3125
1991,4.9600,4.3125
1992,4.9600,4.3125
1993,4.9600,4.3125
1994,4.9600,4.3125
1995,4.9600,4.3125
1996,4.9100,4.2753
1997,4.8400,4.2082
1998,4.7900,4.1647
1999,4.6869,4.0750
2000,4.6135,4.0112
2001,4.5635,3.9672
2002,4.5385,3.9462
2003,4.5000,3.9127
2004,4.6250,3.8801
2005,4.3918,3.8499
2006,4.3160,3.7957
2007,4.2805,3.7637
2008,4.2395,3.7400
2009,3.9550,3.5196
2010,3.9296,3.4997
2011,3.9280,3.4985
2012,3.9280,3.4985
2013,3.9280,3.4985
2014,3.9240,3.4950
2015,3.9200,3.4915
2016,3.9102,3.4828
2017,3.9004,3.4741
2018,3.8907,3.4654
2019,3.8809,3.4567
2020,3.8712,3.4481
2021,3.8616,3.4395
2022,3.8519,3.4309
2023,3.8423,3.4223
2024,3.8327,3.4137
2025,3.8231,3.4052
